Timestamp,Date,USDT,USDC,PYUSD,USDe,DAI,FDUSD
1725580800,2024-09-06,118099392311,34703034575,913546939,2690071635,5162257231,2301583493
1725494400,2024-09-05,118128267807,34694349289,906561260,2689210626,5191412673,2324051090
1725408000,2024-09-04,118120984280,34428750988,898018534,2704431707,5260469202,2403384986
1725321600,2024-09-03,118081163534,34567470119,917119933,2711752470,5245630965,2473093174
1725235200,2024-09-02,118329335994,34557856068,908112034,2802332662,5253973951,2480641660
1725148800,2024-09-01,118025215506,34434304706,907881360,2831319219,5239373914,2457215581
1725062400,2024-08-31,118210924869,34509386329,907829595,2837624769,5247773476,2475836501
1724976000,2024-08-30,118195672005,34419245011,969349498,2882998422,5252800988,2577150611
1724889600,2024-08-29,118071957569,33931434451,992271945,2903894402,5256711964,2686042706
1724803200,2024-08-28,118055107985,33820804202,1009743951,2924184976,5261783784,2783826306
1724716800,2024-08-27,117910201291,34052128230,1008167347,2932496016,5236352183,2810492254
1724630400,2024-08-26,117826540080,34339165046,1011864240,2941605844,5069414666,2810313356
1724544000,2024-08-25,117960181426,34428878606,1012876104,2951241293,5061812234,2819086036
1724457600,2024-08-24,117627722034,34423979478,998790529,2960638161,5064157693,2815117912
1724371200,2024-08-23,117648169338,34213684312,960000694,3000570884,5069904952,2424397268
1724284800,2024-08-22,117371515154,34428785586,950608442,3026288225,5073650972,2324968575
1724198400,2024-08-21,117262503316,34309176722,887172193,3045251509,5086192559,2144331007
1724112000,2024-08-20,116995756969,34438088569,867314688,3064111623,5097013305,2070850472
1724025600,2024-08-19,116888957760,34344730172,844768564,3086072386,5157376358,2020662142
1723939200,2024-08-18,116887299260,34378786343,828269790,3085496840,5165553940,2018195359
1723852800,2024-08-17,116833969260,34355462675,828756368,3090031021,5154681987,2020662142
1723766400,2024-08-16,116699423797,34083545244,792469210,3091798530,5139088908,1859053742
1723680000,2024-08-15,116650846694,34033979753,767612854,3101819803,5150074409,1740090681
1723593600,2024-08-14,116129081961,34029385017,748821199,3110316708,5111149139,1676617446
1723507200,2024-08-13,115889054746,34058003605,734798043,3113135869,5117742373,1580527711
1723420800,2024-08-12,115756322080,34059273081,705752231,3117357850,5125824935,1586702563
1723334400,2024-08-11,115445826851,33965850211,705551049,3114286565,5135904738,1582788908
1723248000,2024-08-10,115574281399,33996186928,705901884,3117890643,5134541826,1583724127
1723161600,2024-08-09,115532191788,34064648192,696239649,3118086693,5148190829,1584459622
1723075200,2024-08-08,115656673750,34226686518,684432340,3113451643,5158932474,1645016015
1722988800,2024-08-07,114556867042,33808347110,669614935,3114729817,5154851686,1628660329
1722902400,2024-08-06,114572011258,33320174780,651617379,3110732669,5136271254,1659837703
1722816000,2024-08-05,114694368645,32831859620,657635298,3207347373,5192902067,1622471182
1722729600,2024-08-04,114694368645,32705368390,657635298,3209364893,5162086491,1622471182
1722643200,2024-08-03,114709383647,32589592799,657635298,3223382159,5162361401,1622471182
1722556800,2024-08-02,114667956088,32554955077,641488811,3203907336,5181943056,1628947659
1722470400,2024-08-01,114662166761,32975847532,626039974,3209224502,5191241942,1623966750
1722384000,2024-07-31,114518259273,33149411119,612913113,3210102227,5211038903,1636384693
1722297600,2024-07-30,114513725531,33338671490,581888069,3214697200,5139736752,1630367080
1722211200,2024-07-29,114459214526,33720652739,586971013,3221218073,5184240282,1630050498
1722124800,2024-07-28,114459557936,33740364231,586676870,3225598554,5187379354,1630817475
1722038400,2024-07-27,114325513751,33714062895,586998607,3247175348,5158998851,1627889909
1721952000,2024-07-26,114315607314,33361587350,587044402,3306792665,5180941646,1632386436
1721865600,2024-07-25,114424345507,33604215849,588634584,3393150909,5194000256,1642540583
